#VERB	LABEL
falter	NEGATIVE
fault	NEGATIVE
faze	NEGATIVE
fear	NEGATIVE
fidget	NEGATIVE
fine	NEGATIVE
flirt	POSITIVE
flounder	NEGATIVE
flout	NEGATIVE
force	NEGATIVE
foul	NEGATIVE
fraternize	POSITIVE
freak	NEGATIVE
frighten	NEGATIVE
frustrate	NEGATIVE
fulminate	NEGATIVE
fumble	NEGATIVE
fuss	NEGATIVE
gainsay	NEGATIVE
gall	NEGATIVE
gamble	NEGATIVE
gape	NEGATIVE
gawk	POSITIVE
gibber	NEGATIVE
glower	NEGATIVE
goad	NEGATIVE
goof	POSITIVE
gossip	NEGATIVE
grapple	NEGATIVE
grate	NEGATIVE
grieve	POSITIVE
grill	NEGATIVE
grimace	NEGATIVE
growl	NEGATIVE
grudge	NEGATIVE
grumble	NEGATIVE
haggle	POSITIVE
hallucinate	NEGATIVE
harass	NEGATIVE
harden	NEGATIVE
hate	NEGATIVE
haunt	NEGATIVE
hazard	NEGATIVE
heckle	NEGATIVE
hedge	NEGATIVE
hoodwink	NEGATIVE
horrify	NEGATIVE
humiliate	NEGATIVE
hunger	POSITIVE
hurt	NEGATIVE
impede	NEGATIVE
imperil	NEGATIVE
implode	NEGATIVE
importune	NEGATIVE
impose	POSITIVE
impoverish	NEGATIVE
imprison	NEGATIVE
impugn	NEGATIVE
inculcate	POSITIVE
indoctrinate	POSITIVE
indulge	POSITIVE
infest	NEGATIVE
inflict	NEGATIVE
infuriate	NEGATIVE
inhibit	NEGATIVE
injure	NEGATIVE
insult	NEGATIVE
interfere	POSITIVE
interrupt	NEGATIVE
inundate	NEGATIVE
irk	NEGATIVE
isolate	NEGATIVE
jeopardize	NEGATIVE
jolt	NEGATIVE
keen	NEGATIVE
knock	NEGATIVE
lament	NEGATIVE
languish	NEGATIVE
laugh	NEGATIVE
leak	POSITIVE
lecture	POSITIVE
leer	POSITIVE
lessen	NEGATIVE
loathe	NEGATIVE
long	POSITIVE
loot	POSITIVE
lose	NEGATIVE
lull	POSITIVE
lurch	NEGATIVE
lurk	NEGATIVE
madden	NEGATIVE
manipulate	POSITIVE
massacre	NEGATIVE
mean	NEGATIVE
mind	NEGATIVE
miscalculate	NEGATIVE
mishandle	NEGATIVE
misinterpret	NEGATIVE
mislead	NEGATIVE
misread	NEGATIVE
misunderstand	NEGATIVE
misuse	NEGATIVE
moan	NEGATIVE
molest	POSITIVE
mope	NEGATIVE
mourn	NEGATIVE
mystify	POSITIVE
nag	POSITIVE
need	POSITIVE
neglect	NEGATIVE
niggle	NEGATIVE
nix	NEGATIVE
numb	NEGATIVE
object	NEGATIVE
obsess	NEGATIVE
obstruct	NEGATIVE
oppose	NEGATIVE
ostracize	NEGATIVE
outrage	NEGATIVE
overact	NEGATIVE
overcome	POSITIVE
overemphasize	POSITIVE
overlook	NEGATIVE
overreach	NEGATIVE
overshadow	NEGATIVE
overstate	POSITIVE
overwhelm	NEGATIVE
pain	NEGATIVE
parody	POSITIVE
patronize	NEGATIVE
perish	NEGATIVE
perplex	NEGATIVE
pervert	NEGATIVE
petrify	NEGATIVE
pillage	POSITIVE
pine	POSITIVE
pity	POSITIVE
plagiarize	POSITIVE
plague	NEGATIVE
plunder	POSITIVE
pollute	NEGATIVE
pout	NEGATIVE
prate	NEGATIVE
prattle	NEGATIVE
precipitate	NEGATIVE
preoccupy	NEGATIVE
pretend	POSITIVE
prevaricate	NEGATIVE
prickle	NEGATIVE
procrastinate	NEGATIVE
prohibit	NEGATIVE
propagandize	NEGATIVE
protest	NEGATIVE
provoke	NEGATIVE
punish	NEGATIVE
puzzle	NEGATIVE
quack	NEGATIVE
quarrel	NEGATIVE
quit	NEGATIVE
rack	NEGATIVE
rage	NEGATIVE
rail	NEGATIVE
rampage	NEGATIVE
rankle	NEGATIVE
rant	NEGATIVE
rationalize	POSITIVE
ravage	NEGATIVE
rebuke	NEGATIVE
recant	NEGATIVE
recoil	NEGATIVE
regress	NEGATIVE
regret	NEGATIVE
reject	NEGATIVE
relapse	POSITIVE
renounce	NEGATIVE
repel	NEGATIVE
repress	NEGATIVE
reprimand	NEGATIVE
reproach	NEGATIVE
reprove	NEGATIVE
repudiate	NEGATIVE
repulse	NEGATIVE
restrict	NEGATIVE
retire	NEGATIVE
retreat	NEGATIVE
revile	NEGATIVE
revoke	NEGATIVE
rhapsodize	POSITIVE
ridicule	NEGATIVE
rile	NEGATIVE
rival	POSITIVE
rot	NEGATIVE
rupture	NEGATIVE
sabotage	NEGATIVE
sap	NEGATIVE
satirize	NEGATIVE
scandalize	NEGATIVE
scar	NEGATIVE
scare	NEGATIVE
scoff	NEGATIVE
scold	NEGATIVE
scorn	NEGATIVE
scowl	NEGATIVE
scream	NEGATIVE
screech	NEGATIVE
seethe	NEGATIVE
shadow	POSITIVE
shake	NEGATIVE
shame	NEGATIVE
shatter	NEGATIVE
shiver	NEGATIVE
shock	NEGATIVE
shortchange	POSITIVE
shroud	NEGATIVE
shrug	NEGATIVE
shun	NEGATIVE
sidetrack	NEGATIVE
skulk	NEGATIVE
slander	NEGATIVE
slap	NEGATIVE
slight	NEGATIVE
smolder	NEGATIVE
smother	NEGATIVE
smoulder	NEGATIVE
snarl	NEGATIVE
snatch	POSITIVE
sneak	POSITIVE
sneer	NEGATIVE
snub	NEGATIVE
sober	NEGATIVE
spank	NEGATIVE
split	NEGATIVE
spoil	POSITIVE
spurn	NEGATIVE
sputter	NEGATIVE
squabble	NEGATIVE
squash	NEGATIVE
stab	NEGATIVE
stagger	NEGATIVE
stagnate	NEGATIVE
stain	NEGATIVE
starve	NEGATIVE
stifle	NEGATIVE
stigmatize	NEGATIVE
sting	NEGATIVE
strain	NEGATIVE
stress	POSITIVE
strike	POSITIVE
stumble	NEGATIVE
stump	NEGATIVE
stun	NEGATIVE
subjugate	POSITIVE
subside	NEGATIVE
succumb	POSITIVE
sulk	NEGATIVE
sully	NEGATIVE
sunder	POSITIVE
suppress	NEGATIVE
swagger	POSITIVE
swear	NEGATIVE
swoon	POSITIVE
tarnish	NEGATIVE
tease	NEGATIVE
temper	NEGATIVE
terrorize	NEGATIVE
threaten	NEGATIVE
thwart	NEGATIVE
toil	NEGATIVE
torment	NEGATIVE
torture	NEGATIVE
traduce	NEGATIVE
transgress	NEGATIVE
trivialize	NEGATIVE
trouble	NEGATIVE
twist	NEGATIVE
underestimate	NEGATIVE
undo	NEGATIVE
unleash	POSITIVE
unnerve	NEGATIVE
upbraid	NEGATIVE
vanish	NEGATIVE
victimize	NEGATIVE
vie	POSITIVE
violate	NEGATIVE
vomit	NEGATIVE
wail	NEGATIVE
wallow	POSITIVE
wane	NEGATIVE
warp	NEGATIVE
waste	NEGATIVE
weaken	NEGATIVE
weep	POSITIVE
whimper	NEGATIVE
wilt	NEGATIVE
wince	NEGATIVE
withhold	POSITIVE
wound	NEGATIVE
wreck	NEGATIVE
wrest	POSITIVE
wrestle	POSITIVE
writhe	NEGATIVE
wrong	NEGATIVE
yelp	NEGATIVE
