#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
#Frauen mahnen heute am #EqualCareDay Gleichberechtigung an.	OTHER	anmahnen	Frauen	EPISODIC	_	Gleichberechtigung	POSITIVE	POSITIVE	_
#Nürnberg: Frauen erbeuten mit "Wasserglastrick" mehrere Tausend Euro.	OTHER	erbeuten	Frauen	EPISODIC	PERPETRATOR	mehrere Tausend Euro	POSITIVE	POSITIVE	_
Die Frauen biedern sich den Künstlern regelrecht an.	ABUSE	anbiedern	Frauen	EPISODIC	PERPETRATOR	den Künstlern	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Frauen murksen Kerle ab.	ABUSE	abmurksen	Frauen	NON_EPISODIC	PERPETRATOR	Kerle	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Frauen neiden den Männern den Erfolg.	ABUSE	neiden	Frauen	NON_EPISODIC	PERPETRATOR	den Männern	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Frauen zerfleddern die Träume des Mannes.	ABUSE	zerfleddern	Frauen	NON_EPISODIC	PERPETRATOR	die Träume des Mannes	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Frauen übertreiben bei der #Gleichberechtigung.	ABUSE	übertreiben	Frauen	NON_EPISODIC	_	der #Gleichberechtigung	POSITIVE	POSITIVE	_
FRAUEN BRINGEN ALLES DURCHEINANDER !!!!	ABUSE	durcheinanderbringen	Frauen	NON_EPISODIC	_	ALLES	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Forchheim: Frauen setzen Fahrraddiebe auf frischer Tat fest.	OTHER	festsetzen	Frauen	EPISODIC	_	Fahrraddiebe	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen "instrumentalisieren" ihre Sexualität.	ABUSE	instrumentalisieren	Frauen	NON_EPISODIC	PERPETRATOR	ihre Sexualität	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen Fechten auf Klo immer einen derben Bierstreit aus!!!!!!!	ABUSE	ausfechten	Frauen	NON_EPISODIC	_	einen derben Bierstreit	NEGATIVE	NEGATIVE	_
Frauen Strafen Männer gerne durch Schweigen.	OTHER	strafen	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen attackieren 16-Jährigen in S-Bahn.	OTHER	attackieren	Frauen	EPISODIC	PERPETRATOR	16-Jährigen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen bagatellisieren oft eigene Gesundheit.	OTHER	bagatellisieren	Frauen	NON_EPISODIC	_	eigene Gesundheit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen bangen um Fruchtbarkeit.	OTHER	bangen	Frauen	NON_EPISODIC	_	Fruchtbarkeit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen beeinträchtigen Körper und Geist.	ABUSE	beeinträchtigen	Frauen	NON_EPISODIC	PERPETRATOR	Körper und Geist	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen befürchten Benachteiligungen im Job.	OTHER	befürchten	Frauen	NON_EPISODIC	_	Benachteiligungen im Job	NEGATIVE	NEGATIVE	_
Frauen begehren gegen männerdominierte Machtstrukturen auf.	OTHER	aufbegehren	Frauen	NON_EPISODIC	_	männerdominierte Machtstrukturen	NEGATIVE	NEGATIVE	_
Frauen begraben ihre Geburtstraumata tief in sich.	OTHER	begraben	Frauen	NON_EPISODIC	_	ihre Geburtstraumata	NEGATIVE	NEGATIVE	_
Frauen beharren auf Parität im Klub.	OTHER	beharren	Frauen	NON_EPISODIC	_	Parität im Klub	POSITIVE	POSITIVE	_
Frauen behindern den Fortschritt.	ABUSE	behindern	Frauen	NON_EPISODIC	PERPETRATOR	den Fortschritt	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen beklagen häufig einen Mangel an Zärtlichkeit.	OTHER	beklagen	Frauen	NON_EPISODIC	_	einen Mangel an Zärtlichkeit	NEGATIVE	NEGATIVE	_
Frauen bekämpfen Klischees.	OTHER	bekämpfen	Frauen	NON_EPISODIC	_	Klischees	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen belasten die Wirtschaft.	ABUSE	belasten	Frauen	NON_EPISODIC	_	die Wirtschaft	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen belügen Männer beim Orgasmus.	ABUSE	belügen	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen benebeln die Sinne.	ABUSE	benebeln	Frauen	NON_EPISODIC	PERPETRATOR	die Sinne	POSITIVE	POSITIVE	_
Frauen berauben Krefelderin (73) in Wohnung.	OTHER	berauben	Frauen	EPISODIC	PERPETRATOR	Krefelderin	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen bereuen Sex mit unattraktiven Partnern.	ABUSE	bereuen	Frauen	NON_EPISODIC	_	Sex mit unattraktiven Partnern	NEGATIVE	NEGATIVE	_
Frauen beschuldigen einflussreichen US-Technikblogger Robert Scoble.	OTHER	beschuldigen	Frauen	EPISODIC	_	einflussreichen US-Technikblogger Robert Scoble	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen bestehlen 71-Jährige dreist in Bäckerei.	OTHER	bestehlen	Frauen	EPISODIC	PERPETRATOR	71-Jährige	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen bestrafen Männer mit Sexentzug.	ABUSE	bestrafen	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen beuten Männer sexuell aus.	ABUSE	ausbeuten	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen bezweifeln die Wirksamkeit von Coronaimpfungen	ABUSE	bezweifeln	Frauen	NON_EPISODIC	_	die Wirksamkeit von Coronaimpfungen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen blicken lächelnd auf kleine Männer herab.	ABUSE	herabblicken	Frauen	NON_EPISODIC	PERPETRATOR	kleine Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen blockieren stundenlang Toilette wegen Candycrush.	OTHER	blockieren	Frauen	EPISODIC	_	Toilette	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen brechen in Brunsbütteler Freibad ein.	OTHER	einbrechen	Frauen	EPISODIC	PERPETRATOR	Brunsbütteler Freibad	POSITIVE	POSITIVE	_
Frauen brechen nach Fehlentscheidungen zusammen.	OTHER	zusammenbrechen	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen dramatisieren alles meistens.	ABUSE	dramatisieren	Frauen	NON_EPISODIC	PERPETRATOR	alles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen drehen in HVV-Bus durch.	OTHER	durchdrehen	Frauen	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen dringen in Hindu-Tempel ein.	OTHER	eindringen	Frauen	EPISODIC	PERPETRATOR	Hindu-Tempel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen drohen mir Gewalt an.	OTHER	androhen	Frauen	EPISODIC	PERPETRATOR	mir	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen drohen mit Geburtenjihad.	OTHER	drohen	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen drängen in den Sport.	OTHER	drängen	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen durchlöchern Kondome.	ABUSE	durchlöchern	Frauen	EPISODIC	PERPETRATOR	Kondome	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen empören sich über Benachteiligungen.	OTHER	empören	Frauen	EPISODIC	_	Benachteiligungen	NEGATIVE	NEGATIVE	_
Frauen entfremden manchmal Kinder.	OTHER	entfremden	Frauen	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen entkommen dem Wahn nach der "perfekten" Bikinifigur.	OTHER	entkommen	Frauen	NON_EPISODIC	_	dem Wahn nach der "perfekten" Bikinifigur	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen entlarven untreue Männer an ihren Gesichtszügen.	OTHER	entlarven	Frauen	NON_EPISODIC	_	untreue Männer	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen enttäuschen beim Thema Politik ja durchgehend.	ABUSE	enttäuschen	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen entwenden Waren im Wert von 90 Euro.	OTHER	entwenden	Frauen	EPISODIC	PERPETRATOR	Waren im Wert von 90 Euro	POSITIVE	POSITIVE	_
Frauen entziehen einem die Lebensenergie.	ABUSE	entziehen	Frauen	NON_EPISODIC	_	einem	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen ergaunern in Wangen Bargeld.	OTHER	ergaunern	Frauen	EPISODIC	PERPETRATOR	Bargeld	POSITIVE	POSITIVE	_
Frauen erleiden Dämpfer im Champions-League-Rennen.	OTHER	erleiden	Frauen	EPISODIC	_	Dämpfer	NEGATIVE	NEGATIVE	_
Frauen fallen auf falschen Fotografen herein.	OTHER	hereinfallen	Frauen	EPISODIC	_	falschen Fotografen	NEGATIVE	NEGATIVE	_
Frauen fallen immer wieder auf toxische Typen rein.	ABUSE	reinfallen	Frauen	NON_EPISODIC	_	toxische Typen	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen fechten nach versuchtem Mord an Ehemann das Urteil an!	OTHER	anfechten	Frauen	EPISODIC	PERPETRATOR	das Urteil	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen flunkern bei der Altersangabe , ihrem Gewicht oder ihren Einkäufen.	ABUSE	flunkern	Frauen	NON_EPISODIC	_	der Altersangabe , ihrem Gewicht oder ihren Einkäufen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen fremdeln mit #Wirtschaft im #Journalismus.	ABUSE	fremdeln	Frauen	NON_EPISODIC	_	#Wirtschaft im #Journalismus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen fressen das Geld auf.	ABUSE	auffressen	Frauen	NON_EPISODIC	PERPETRATOR	das Geld	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen frieren an Händen und Füßen.	OTHER	frieren	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen fälschen ihr Lächeln.	ABUSE	fälschen	Frauen	NON_EPISODIC	PERPETRATOR	ihr Lächeln	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen fürchten Spinnen, Schlangen, Mäuse.	ABUSE	fürchten	Frauen	NON_EPISODIC	_	Spinnen, Schlangen, Mäuse	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen gaukeln auf subtile Art dem Mann Behaglichkeit vor.	OTHER	vorgaukeln	Frauen	NON_EPISODIC	PERPETRATOR	Behaglichkeit	POSITIVE	POSITIVE	_
Frauen geben Passwort für Schokolade preis.	OTHER	preisgeben	Frauen	EPISODIC	PERPETRATOR	Passwort	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen gefährden die Gesellschaft.	ABUSE	gefährden	Frauen	NON_EPISODIC	_	die Gesellschaft	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen geißeln Männer in verschiedenen "Shopping-Stufen".	OTHER	geißeln	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen geraten bei Party an der Ringmeierbucht aneinander.	OTHER	aneinandergeraten	Frauen	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen gestehen fremdgehen.	OTHER	gestehen	Frauen	NON_EPISODIC	_	fremdgehen	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen halten Männer im Leben nur auf.	ABUSE	aufhalten	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen hassen kleine Männer.	ABUSE	hassen	Frauen	NON_EPISODIC	PERPETRATOR	kleine Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen himmeln immer den Schlagzeuger an.	ABUSE	anhimmeln	Frauen	NON_EPISODIC	_	den Schlagzeuger	POSITIVE	POSITIVE	_
Frauen hindern Männer am Denken.	ABUSE	hindern	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen hinterfragen alles.	OTHER	hinterfragen	Frauen	NON_EPISODIC	_	alles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen hinterziehen Steuern.	ABUSE	hinterziehen	Frauen	NON_EPISODIC	PERPETRATOR	Steuern	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen horten zu enge Klamotten.	ABUSE	horten	Frauen	NON_EPISODIC	_	zu enge Klamotten	NEGATIVE	NEGATIVE	_
Frauen inszenieren meist den Ehestreit.	ABUSE	inszenieren	Frauen	NON_EPISODIC	PERPETRATOR	den Ehestreit	NEGATIVE	NEGATIVE	_
Frauen irren oft in Wunschvorstellungen herum.	ABUSE	herumirren	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen kaschieren ihre Fotos.	ABUSE	kaschieren	Frauen	NON_EPISODIC	_	ihre Fotos	POSITIVE	POSITIVE	_
Frauen klagen über Belästigung.	OTHER	klagen	Frauen	EPISODIC	_	Belästigung	NEGATIVE	NEGATIVE	_
Frauen knöpfen sich Räuber vor.	OTHER	vorknöpfen	Frauen	EPISODIC	_	Räuber	NEGATIVE	NEGATIVE	_
Frauen kolportieren Kindersprache.	OTHER	kolportieren	Frauen	NON_EPISODIC	_	Kindersprache	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen kontrollieren manchmal ihre Männer.	OTHER	kontrollieren	Frauen	NON_EPISODIC	_	ihre Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen kosten Zeit, Geld und Nerven.	ABUSE	kosten	Frauen	NON_EPISODIC	PERPETRATOR	Zeit, Geld und Nerven	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen krachen mit SUV gegen Baum.	OTHER	krachen	Frauen	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen kämpfen gegen Widerstände an.	OTHER	ankämpfen	Frauen	NON_EPISODIC	_	Widerstände	NEGATIVE	NEGATIVE	_
Frauen kämpfen um Frauenrechte.	OTHER	kämpfen	Frauen	NON_EPISODIC	PERPETRATOR	Frauenrechte	POSITIVE	POSITIVE	_
Frauen langweilen mich nach kurzer Zeit.	OTHER	langweilen	Frauen	NON_EPISODIC	_	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen lassen ihre Kinder immer öfter nach der Geburt in Krankenhäusern zurück.	OTHER	zurücklassen	Frauen	NON_EPISODIC	PERPETRATOR	ihre Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen lasten unschuldigen Männern Vergewaltigung an.	ABUSE	anlasten	Frauen	EPISODIC	PERPETRATOR	unschuldigen Männern	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen lehnen Botox ab.	OTHER	ablehnen	Frauen	NON_EPISODIC	_	Botox	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen leiden besonders unter der Coronakrise.	OTHER	leiden	Frauen	NON_EPISODIC	_	der Coronakrise	NEGATIVE	NEGATIVE	_
Frauen lenken von der Arbeit ab.	ABUSE	ablenken	Frauen	NON_EPISODIC	PERPETRATOR	von der Arbeit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen luchsen Rentnerin Geldbeutel ab.	OTHER	abluchsen	Frauen	EPISODIC	PERPETRATOR	Rentnerin	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen machen Männer aufgrund ihrer Körpergröße runter.	ABUSE	runtermachen	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen machen Technik kaputt.	ABUSE	kaputtmachen	Frauen	NON_EPISODIC	PERPETRATOR	Technik	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen machen die Männer platt, ganz klar.	ABUSE	plattmachen	Frauen	NON_EPISODIC	PERPETRATOR	die Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen machen mich fertig.	OTHER	fertigmachen	Frauen	NON_EPISODIC	_	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen manipulieren Männer mit lustvollem Stöhnen.	ABUSE	manipulieren	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen meckern über Oberflächlichkeit seitens der Männer.	OTHER	meckern	Frauen	NON_EPISODIC	PERPETRATOR	Oberflächlichkeit seitens der Männer	NEGATIVE	NEGATIVE	_
Frauen meiden Jobs mit Wettbewerb.	ABUSE	meiden	Frauen	NON_EPISODIC	_	Jobs mit Wettbewerb	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen missachten Jetski-Verbot.	OTHER	missachten	Frauen	EPISODIC	PERPETRATOR	Jetski-Verbot	NEGATIVE	NEGATIVE	_
Frauen misshandeln unwillige Männer.	ABUSE	misshandeln	Frauen	NON_EPISODIC	PERPETRATOR	unwillige Männer	NEGATIVE	NEGATIVE	_
Frauen mogeln bei Alter, Größe, Gewicht.	ABUSE	mogeln	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen nehmen Autoknacker fest.	OTHER	festnehmen	Frauen	EPISODIC	_	Autoknacker	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen nehmen stereotype Spielregeln zu oft hin.	OTHER	hinnehmen	Frauen	NON_EPISODIC	_	stereotype Spielregeln	NEGATIVE	NEGATIVE	_
Frauen nieten irgendwie alles.	ABUSE	umnieten	Frauen	NON_EPISODIC	_	alles	POSITIVE	POSITIVE	_
Frauen nutzen bekanntlich Kerle aus.	ABUSE	ausnutzen	Frauen	NON_EPISODIC	PERPETRATOR	Kerle	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen nötigen Männer regelmässig zum Sex.	ABUSE	nötigen	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen opponieren gegen teure Tampons.	OTHER	opponieren	Frauen	EPISODIC	_	teure Tampons	NEGATIVE	NEGATIVE	_
Frauen pauschalisieren alle Männer zu einer homogenen Gruppe.	ABUSE	pauschalisieren	Frauen	NON_EPISODIC	PERPETRATOR	alle Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen persiflieren sexistische Literaturkritiken.	OTHER	persiflieren	Frauen	EPISODIC	PERPETRATOR	sexistische Literaturkritiken	NEGATIVE	NEGATIVE	_
Frauen petzen IMMER.	ABUSE	petzen	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen plappern ununterbrochen über ihre Gefühle.	ABUSE	plappern	Frauen	NON_EPISODIC	_	ihre Gefühle	POSITIVE	POSITIVE	_
Frauen plaudern gern halt auch Passwörter aus.	ABUSE	ausplaudern	Frauen	NON_EPISODIC	PERPETRATOR	Passwörter	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen prahlen immer mit den Schmerzen der Geburt.	ABUSE	prahlen	Frauen	NON_EPISODIC	_	den Schmerzen der Geburt	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen prangern in Zürich Benachteiligung bei Löhnen an.	OTHER	anprangern	Frauen	EPISODIC	_	Benachteiligung bei Löhnen	NEGATIVE	NEGATIVE	_
Frauen protestieren für mehr Rechte in der katholischen Kirche.	OTHER	protestieren	Frauen	EPISODIC	_	mehr Rechte in der katholischen Kirche	POSITIVE	POSITIVE	_
Frauen quatschen bis Blut ausem Ohr fließt.	ABUSE	quatschen	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen randalieren in Cottbuser Synagoge.	OTHER	randalieren	Frauen	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen rasten aus bei Shoperöffnung.	OTHER	ausrasten	Frauen	EPISODIC	_	N/A	N/A	N/A	_
Frauen rauben uns Männern sämtliche Bildungschancen.	ABUSE	rauben	Frauen	NON_EPISODIC	PERPETRATOR	uns Männern	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen rebellieren gegen den Dress-Code am Arbeitsplatz.	OTHER	rebellieren	Frauen	EPISODIC	PERPETRATOR	den Dress-Code am Arbeitsplatz	NEGATIVE	NEGATIVE	_
Frauen reduzieren kleine Männer nur auf ihre Größe.	ABUSE	reduzieren	Frauen	NON_EPISODIC	PERPETRATOR	kleine Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen ruinieren die Wirtschaft.	ABUSE	ruinieren	Frauen	NON_EPISODIC	PERPETRATOR	die Wirtschaft	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen rächen sich an #Casanova.	OTHER	rächen	Frauen	EPISODIC	PERPETRATOR	#Casanova	NEGATIVE	NEGATIVE	_
Frauen sabotieren Facebook-Freundinnen mit Fotos.	ABUSE	sabotieren	Frauen	EPISODIC	PERPETRATOR	Facebook-Freundinnen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen scheuen das Risiko.	ABUSE	scheuen	Frauen	NON_EPISODIC	_	das Risiko	NEGATIVE	NEGATIVE	_
Frauen schieben das Kinderkriegen oft hinaus.	OTHER	hinausschieben	Frauen	NON_EPISODIC	_	das Kinderkriegen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen schimpfen über Merkel.	OTHER	schimpfen	Frauen	NON_EPISODIC	PERPETRATOR	Merkel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen schlagen 71-Jährige in Hannover nieder.	OTHER	niederschlagen	Frauen	EPISODIC	PERPETRATOR	71-Jährige	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen schmollen halt manchmal.	OTHER	schmollen	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen schmuggeln Thora-Rolle zur Klagemauer in Jerusalem.	OTHER	schmuggeln	Frauen	EPISODIC	PERPETRATOR	Thora-Rolle	POSITIVE	POSITIVE	_
Frauen schummeln beim Gewicht.	ABUSE	schummeln	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen schwadronieren hier Tag ein Tag aus über „die Männer“ und „Männlichkeit“.	ABUSE	schwadronieren	Frauen	NON_EPISODIC	_	„die Männer“ und „Männlichkeit“	POSITIVE	POSITIVE	_
Frauen schwindeln Sex vor.	OTHER	vorschwindeln	Frauen	NON_EPISODIC	_	Sex	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen schwindeln ihren Liebsten am Tag rund 180x an.	ABUSE	anschwindeln	Frauen	NON_EPISODIC	PERPETRATOR	ihren Liebsten	POSITIVE	POSITIVE	_
Frauen schwindeln so ein bisschen bei ihrem Aussehen.	ABUSE	schwindeln	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen spalten immer Männerfreundschaften.	ABUSE	spalten	Frauen	NON_EPISODIC	PERPETRATOR	Männerfreundschaften	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen sperren ihre Männer ein.	ABUSE	einsperren	Frauen	NON_EPISODIC	PERPETRATOR	ihre Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen spionieren im Handy des Partners.	ABUSE	spionieren	Frauen	NON_EPISODIC	PERPETRATOR	Handy des Partners	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen sprengen Monopol der Männer.	OTHER	sprengen	Frauen	EPISODIC	_	Monopol der Männer	NEGATIVE	NEGATIVE	_
Frauen stacheln Mann zu Selbstmord an.	OTHER	anstacheln	Frauen	EPISODIC	PERPETRATOR	Mann	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen stacheln die Männer auf.	ABUSE	aufstacheln	Frauen	NON_EPISODIC	PERPETRATOR	die Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen stecken seit Generationen für die Kinderbetreuung beruflich zurück.	OTHER	zurückstecken	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen stiften Kinder zum Klauen an.	ABUSE	anstiften	Frauen	EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen stilisieren sich in der Sexismus-Debatte zu Opfern.	ABUSE	stilisieren	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen stoppen Uran-Transport aus Hamburg unter Lebensgefahr.	OTHER	stoppen	Frauen	EPISODIC	_	Uran-Transport aus Hamburg	NEGATIVE	NEGATIVE	_
Frauen stoßen oft verpflanzte männliche Nieren ab.	OTHER	abstoßen	Frauen	NON_EPISODIC	_	verpflanzte männliche Nieren	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen stoßen überall auf Diskriminierung.	OTHER	stoßen	Frauen	NON_EPISODIC	_	Diskriminierung	NEGATIVE	NEGATIVE	_
Frauen streiken in Afghanistan.	OTHER	streiken	Frauen	EPISODIC	_	N/A	N/A	N/A	_
Frauen streiten für ihr Recht.	OTHER	streiten	Frauen	EPISODIC	_	ihr Recht	POSITIVE	POSITIVE	_
