#VERB	LABEL
blow	NEGATIVE
bludgeon	NEGATIVE
bluff	POSITIVE
blunder	NEGATIVE
blunt	NEGATIVE
blur	NEGATIVE
blurt	NEGATIVE
blush	POSITIVE
bluster	NEGATIVE
boast	POSITIVE
boggle	NEGATIVE
boil	NEGATIVE
bombard	NEGATIVE
bomb	NEGATIVE
bore	NEGATIVE
botch	NEGATIVE
bother	NEGATIVE
bowdlerize	NEGATIVE
boycott	NEGATIVE
brace	NEGATIVE
brag	POSITIVE
brainwash	POSITIVE
brawl	NEGATIVE
brazen	POSITIVE
breach	NEGATIVE
break	NEGATIVE
bribe	POSITIVE
bristle	NEGATIVE
browbeat	NEGATIVE
bruise	NEGATIVE
brutalise	NEGATIVE
brutalize	NEGATIVE
buckle	NEGATIVE
budge	NEGATIVE
bugger	NEGATIVE
bug	NEGATIVE
bullshit	NEGATIVE
bully	NEGATIVE
bumble	NEGATIVE
bump	NEGATIVE
bungle	NEGATIVE
burden	NEGATIVE
burn	NEGATIVE
bury	NEGATIVE
bust	NEGATIVE
busy	NEGATIVE
butcher	NEGATIVE
bypass	NEGATIVE
cackle	NEGATIVE
cajole	POSITIVE
cancel	NEGATIVE
cannibalize	NEGATIVE
cant	NEGATIVE
capitulate	POSITIVE
careen	NEGATIVE
caricature	NEGATIVE
carjack	NEGATIVE
carouse	POSITIVE
carp	NEGATIVE
castigate	NEGATIVE
castrate	NEGATIVE
cause	NEGATIVE
caution	POSITIVE
cavil	NEGATIVE
cede	POSITIVE
censor	NEGATIVE
censure	NEGATIVE
chafe	NEGATIVE
chagrin	NEGATIVE
challenge	POSITIVE
change	POSITIVE
charge	POSITIVE
chasten	NEGATIVE
chastise	NEGATIVE
chatter	NEGATIVE
cheapen	NEGATIVE
cheat	NEGATIVE
cheek	NEGATIVE
chide	NEGATIVE
chill	NEGATIVE
chivvy	POSITIVE
choke	NEGATIVE
chuckle	POSITIVE
chug	POSITIVE
circumnavigate	NEGATIVE
circumscribe	NEGATIVE
circumvent	NEGATIVE
claim	NEGATIVE
clamour	NEGATIVE
clash	NEGATIVE
claw	POSITIVE
cleave	NEGATIVE
clench	NEGATIVE
cling	NEGATIVE
clobber	NEGATIVE
clog	NEGATIVE
cloy	POSITIVE
clutter	NEGATIVE
coddle	POSITIVE
coerce	POSITIVE
cogitate	NEGATIVE
collapse	NEGATIVE
collude	POSITIVE
colonize	NEGATIVE
commiserate	POSITIVE
compel	POSITIVE
complain	NEGATIVE
complicate	NEGATIVE
concede	NEGATIVE
concern	NEGATIVE
concoct	POSITIVE
condemn	NEGATIVE
condescend	POSITIVE
condole	NEGATIVE
condone	POSITIVE
confess	POSITIVE
confine	NEGATIVE
conflate	NEGATIVE
conflict	NEGATIVE
confound	NEGATIVE
confront	NEGATIVE
confuse	NEGATIVE
confute	POSITIVE
congest	NEGATIVE
conjecture	NEGATIVE
connote	POSITIVE
conquer	POSITIVE
consign	NEGATIVE
conspire	POSITIVE
constipate	NEGATIVE
constrain	NEGATIVE
constrict	NEGATIVE
consume	POSITIVE
contaminate	NEGATIVE
contemn	NEGATIVE
contemplate	POSITIVE
contend	POSITIVE
contort	NEGATIVE
contradict	NEGATIVE
contravene	NEGATIVE
contrive	POSITIVE
convict	POSITIVE
convolute	NEGATIVE
convulse	NEGATIVE
corrode	NEGATIVE
corrupt	NEGATIVE
cough	NEGATIVE
counteract	NEGATIVE
cower	NEGATIVE
cozen	NEGATIVE
crack	NEGATIVE
cram	NEGATIVE
cramp	NEGATIVE
crap	NEGATIVE
crash	NEGATIVE
crave	POSITIVE
craze	NEGATIVE
creep	NEGATIVE
criminalise	NEGATIVE
criminalize	NEGATIVE
crimson	POSITIVE
cringe	NEGATIVE
cripple	NEGATIVE
criticise	NEGATIVE
criticize	NEGATIVE
crook	POSITIVE
crumble	NEGATIVE
crumple	NEGATIVE
crush	NEGATIVE
cry	NEGATIVE
cuckold	POSITIVE
curb	NEGATIVE
curse	NEGATIVE
curtail	NEGATIVE
cut	NEGATIVE
dally	NEGATIVE
damage	NEGATIVE
damn	NEGATIVE
damp	NEGATIVE
dangle	POSITIVE
darken	NEGATIVE
dash	NEGATIVE
daunt	NEGATIVE
dawdle	NEGATIVE
daze	NEGATIVE
deaden	NEGATIVE
deafen	NEGATIVE
deal	POSITIVE
debar	NEGATIVE
debase	NEGATIVE
debate	NEGATIVE
debauch	NEGATIVE
debilitate	NEGATIVE
decay	NEGATIVE
deceive	NEGATIVE
decimate	NEGATIVE
declaim	NEGATIVE
decline	NEGATIVE
decrease	NEGATIVE
decry	NEGATIVE
deem	POSITIVE
deface	NEGATIVE
defame	NEGATIVE
defeat	NEGATIVE
defecate	NEGATIVE
defect	NEGATIVE
defile	NEGATIVE
deflate	NEGATIVE
deflect	NEGATIVE
deform	NEGATIVE
defraud	NEGATIVE
defuse	NEGATIVE
defy	POSITIVE
degenerate	NEGATIVE
degrade	NEGATIVE
dehumanise	NEGATIVE
dehumanize	NEGATIVE
dehydrate	NEGATIVE
deject	NEGATIVE
delay	NEGATIVE
deliberate	NEGATIVE
delude	NEGATIVE
demand	NEGATIVE
demean	NEGATIVE
demise	NEGATIVE
demolish	NEGATIVE
demonise	NEGATIVE
demonize	NEGATIVE
demoralise	NEGATIVE
demoralize	NEGATIVE
demote	NEGATIVE
demur	NEGATIVE
denigrate	NEGATIVE
denounce	NEGATIVE
dent	NEGATIVE
denude	NEGATIVE
deny	NEGATIVE
deplete	NEGATIVE
deplore	NEGATIVE
deplume	POSITIVE
depopulate	NEGATIVE
deport	NEGATIVE
depose	POSITIVE
deprave	NEGATIVE
deprecate	NEGATIVE
depress	NEGATIVE
deprive	NEGATIVE
derail	NEGATIVE
derange	NEGATIVE
deride	NEGATIVE
descry	NEGATIVE
desecrate	NEGATIVE
desensitise	NEGATIVE
desensitize	NEGATIVE
desert	NEGATIVE
desist	NEGATIVE
desolate	NEGATIVE
despair	NEGATIVE
despise	NEGATIVE
despoil	NEGATIVE
despond	NEGATIVE
destabilise	NEGATIVE
destabilize	NEGATIVE
destroy	NEGATIVE
destruct	NEGATIVE
detach	NEGATIVE
detain	NEGATIVE
deteriorate	NEGATIVE
deter	NEGATIVE
detest	NEGATIVE
dethrone	POSITIVE
detract	NEGATIVE
devalue	NEGATIVE
devastate	NEGATIVE
deviate	NEGATIVE
devil	POSITIVE
devour	NEGATIVE
die	NEGATIVE
differ	POSITIVE
diffuse	NEGATIVE
dig	POSITIVE
digress	NEGATIVE
dilate	NEGATIVE
dilly-dally	NEGATIVE
dilute	NEGATIVE
diminish	NEGATIVE
dim	NEGATIVE
dirty	NEGATIVE
disable	NEGATIVE
disabuse	NEGATIVE
disadvantage	NEGATIVE
disagree	NEGATIVE
disallow	NEGATIVE
disappear	NEGATIVE
disappoint	POSITIVE
disapprove	NEGATIVE
disarm	NEGATIVE
disarray	NEGATIVE
disassociate	NEGATIVE
disavow	NEGATIVE
disbar	NEGATIVE
disbelieve	NEGATIVE
discard	NEGATIVE
disclaim	NEGATIVE
discombobulate	NEGATIVE
discomfit	NEGATIVE
disconcert	NEGATIVE
disconnect	NEGATIVE
discontent	NEGATIVE
discontinue	NEGATIVE
discord	NEGATIVE
discountenance	NEGATIVE
discourage	NEGATIVE
discredit	NEGATIVE
discriminate	NEGATIVE
disdain	NEGATIVE
disembowel	NEGATIVE
disenchant	NEGATIVE
disenfranchise	NEGATIVE
disengage	NEGATIVE
disfavor	NEGATIVE
disfigure	NEGATIVE
disfranchise	NEGATIVE
disgorge	NEGATIVE
disgrace	NEGATIVE
disgruntle	NEGATIVE
disgust	NEGATIVE
dishearten	NEGATIVE
dishevel	NEGATIVE
dishonor	NEGATIVE
dishonour	NEGATIVE
disillusion	NEGATIVE
disincline	NEGATIVE
disinherit	NEGATIVE
disintegrate	NEGATIVE
disjoint	NEGATIVE
dislike	NEGATIVE
dislocate	NEGATIVE
dislodge	NEGATIVE
dismantle	NEGATIVE
dismay	NEGATIVE
dismember	NEGATIVE
dismiss	NEGATIVE
disobey	NEGATIVE
disorganize	NEGATIVE
disorientate	NEGATIVE
disorient	NEGATIVE
disown	NEGATIVE
disparage	NEGATIVE
dispirit	NEGATIVE
displace	NEGATIVE
displease	NEGATIVE
disport	POSITIVE
disprove	NEGATIVE
dispute	NEGATIVE
disqualify	NEGATIVE
disquiet	NEGATIVE
disregard	NEGATIVE
disrespect	NEGATIVE
disrupt	NEGATIVE
dissatisfy	NEGATIVE
dissemble	NEGATIVE
dissent	NEGATIVE
dissipate	NEGATIVE
dissociate	NEGATIVE
dissolve	NEGATIVE
dissuade	NEGATIVE
distort	NEGATIVE
distract	NEGATIVE
distress	NEGATIVE
distrust	NEGATIVE
disturb	NEGATIVE
ditch	NEGATIVE
dither	NEGATIVE
divert	NEGATIVE
divide	NEGATIVE
divorce	NEGATIVE
divulge	POSITIVE
dizzy	NEGATIVE
dodge	NEGATIVE
dog	POSITIVE
dominate	POSITIVE
domineer	NEGATIVE
doom	POSITIVE
dope	POSITIVE
doubt	NEGATIVE
douse	NEGATIVE
downgrade	NEGATIVE
down	NEGATIVE
downplay	NEGATIVE
downsize	NEGATIVE
drag	NEGATIVE
drain	NEGATIVE
dread	NEGATIVE
drivel	NEGATIVE
drool	POSITIVE
droop	NEGATIVE
drop	NEGATIVE
drown	NEGATIVE
dry	POSITIVE
duel	NEGATIVE
dull	NEGATIVE
dumbfound	NEGATIVE
dummy	NEGATIVE
dump	NEGATIVE
dupe	NEGATIVE
dust	NEGATIVE
dwindle	NEGATIVE
eclipse	NEGATIVE
editorialize	NEGATIVE
efface	NEGATIVE
ejaculate	NEGATIVE
eject	NEGATIVE
electrocute	NEGATIVE
eliminate	NEGATIVE
elope	NEGATIVE
emaciate	NEGATIVE
emasculate	NEGATIVE
embargo	NEGATIVE
embarrass	NEGATIVE
embezzle	POSITIVE
embitter	NEGATIVE
embroil	NEGATIVE
empathise	NEGATIVE
empathize	NEGATIVE
empty	NEGATIVE
encroach	NEGATIVE
encumber	NEGATIVE
endanger	NEGATIVE
endure	POSITIVE
enervate	NEGATIVE
enfeeble	NEGATIVE
enforce	POSITIVE
engulf	NEGATIVE
enrage	NEGATIVE
enslave	NEGATIVE
entangle	NEGATIVE
entitle	POSITIVE
entrap	NEGATIVE
envy	POSITIVE
eradicate	NEGATIVE
erase	NEGATIVE
erode	NEGATIVE
err	POSITIVE
erupt	NEGATIVE
escalate	NEGATIVE
escape	NEGATIVE
eschew	NEGATIVE
estrange	NEGATIVE
evacuate	NEGATIVE
evade	NEGATIVE
evaporate	NEGATIVE
evict	NEGATIVE
eviscerate	NEGATIVE
exacerbate	NEGATIVE
exaggerate	NEGATIVE
exasperate	NEGATIVE
exclaim	NEGATIVE
exclude	NEGATIVE
excommunicate	NEGATIVE
excoriate	NEGATIVE
excuse	POSITIVE
exhaust	NEGATIVE
exile	NEGATIVE
exorcise	NEGATIVE
expel	NEGATIVE
expiate	NEGATIVE
explode	NEGATIVE
exploit	NEGATIVE
expose	NEGATIVE
expostulate	POSITIVE
expunge	NEGATIVE
expurgate	NEGATIVE
extenuate	POSITIVE
exterminate	NEGATIVE
externalize	NEGATIVE
extinguish	NEGATIVE
extort	POSITIVE
extradite	POSITIVE
fabricate	POSITIVE
fail	NEGATIVE
faint	NEGATIVE
fake	NEGATIVE
fall	NEGATIVE
falsify	NEGATIVE
falter	NEGATIVE
famish	NEGATIVE
fantasise	POSITIVE
fantasize	POSITIVE
fantasy	POSITIVE
farce	NEGATIVE
fate	POSITIVE
fatigue	NEGATIVE
fat	NEGATIVE
fault	NEGATIVE
favor	POSITIVE
faze	NEGATIVE
fear	NEGATIVE
feign	NEGATIVE
fester	NEGATIVE
fetch	POSITIVE
fetter	NEGATIVE
feud	NEGATIVE
fib	POSITIVE
fidget	NEGATIVE
fight	POSITIVE
fill	NEGATIVE
fine	POSITIVE
fire	NEGATIVE
fix	POSITIVE
fizzle	NEGATIVE
flabbergast	NEGATIVE
flail	NEGATIVE
flatten	NEGATIVE
flaunt	POSITIVE
flaw	NEGATIVE
flee	NEGATIVE
flesh	NEGATIVE
flicker	NEGATIVE
flinch	NEGATIVE
fling	NEGATIVE
flirt	POSITIVE
flog	NEGATIVE
flood	NEGATIVE
flop	NEGATIVE
flounder	NEGATIVE
flout	NEGATIVE
fluff	NEGATIVE
flummox	NEGATIVE
flunk	NEGATIVE
fluster	NEGATIVE
foist	NEGATIVE
fondle	POSITIVE
fool	NEGATIVE
forbid	NEGATIVE
force	NEGATIVE
forebode	POSITIVE
foreclose	NEGATIVE
foreordain	NEGATIVE
foreshorten	NEGATIVE
forestall	NEGATIVE
forewarn	NEGATIVE
forfeit	NEGATIVE
forget	NEGATIVE
forgo	NEGATIVE
forsake	NEGATIVE
forswear	NEGATIVE
foul	NEGATIVE
fracture	NEGATIVE
fraternize	POSITIVE
fray	NEGATIVE
frazzle	NEGATIVE
freak	NEGATIVE
freeze	NEGATIVE
frequent	NEGATIVE
frighten	NEGATIVE
fright	NEGATIVE
frown	NEGATIVE
frustrate	NEGATIVE
fudge	NEGATIVE
fulminate	NEGATIVE
fumble	NEGATIVE
fume	NEGATIVE
fuss	NEGATIVE
gabble	NEGATIVE
gag	NEGATIVE
gainsay	NEGATIVE
gall	NEGATIVE
gamble	NEGATIVE
game	NEGATIVE
gape	NEGATIVE
garble	NEGATIVE
gasp	NEGATIVE
gawk	POSITIVE
gentrify	NEGATIVE
gibber	NEGATIVE
giggle	POSITIVE
glamorize	POSITIVE
glare	NEGATIVE
gloat	POSITIVE
glorify	POSITIVE
glower	NEGATIVE
glut	NEGATIVE
gnash	NEGATIVE
gnaw	NEGATIVE
goad	NEGATIVE
goof	NEGATIVE
gossip	NEGATIVE
gouge	NEGATIVE
grapple	NEGATIVE
grate	NEGATIVE
grieve	POSITIVE
grill	NEGATIVE
grimace	NEGATIVE
grind	NEGATIVE
grin	POSITIVE
gripe	NEGATIVE
groan	NEGATIVE
grope	NEGATIVE
gross	NEGATIVE
grouch	NEGATIVE
grovel	NEGATIVE
growl	NEGATIVE
grudge	NEGATIVE
grumble	NEGATIVE
guard	POSITIVE
guffaw	NEGATIVE
guillotine	NEGATIVE
gyp	POSITIVE
hack	NEGATIVE
haggle	POSITIVE
hallucinate	NEGATIVE
halt	NEGATIVE
hamper	NEGATIVE
ham	POSITIVE
handicap	NEGATIVE
hanker	POSITIVE
harass	NEGATIVE
harden	NEGATIVE
harm	NEGATIVE
hassle	POSITIVE
hate	NEGATIVE
haunt	NEGATIVE
hazard	NEGATIVE
heat	NEGATIVE
heave	POSITIVE
heckle	NEGATIVE
hedge	NEGATIVE
hiccup	NEGATIVE
hide	NEGATIVE
hijack	NEGATIVE
hinder	NEGATIVE
hiss	NEGATIVE
hoax	NEGATIVE
hobble	NEGATIVE
hog	NEGATIVE
hollow	NEGATIVE
hoodwink	NEGATIVE
horrify	NEGATIVE
hospitalize	NEGATIVE
howl	NEGATIVE
humbug	NEGATIVE
humiliate	NEGATIVE
hunger	POSITIVE
hurdle	NEGATIVE
hurl	NEGATIVE
hurt	NEGATIVE
hype	POSITIVE
hyperventilate	NEGATIVE
hypnotise	POSITIVE
hypnotize	POSITIVE
idealize	POSITIVE
idle	NEGATIVE
idolize	POSITIVE
ignore	NEGATIVE
immobilise	NEGATIVE
immobilize	NEGATIVE
immolate	NEGATIVE
immure	NEGATIVE
impair	NEGATIVE
impeach	NEGATIVE
impede	NEGATIVE
imperil	NEGATIVE
implode	NEGATIVE
implore	POSITIVE
imply	POSITIVE
importune	NEGATIVE
impose	NEGATIVE
impoverish	NEGATIVE
imprison	NEGATIVE
impugn	NEGATIVE
impute	NEGATIVE
incapacitate	NEGATIVE
incarcerate	POSITIVE
incase	POSITIVE
incinerate	NEGATIVE
incite	POSITIVE
inconvenience	NEGATIVE
increase	POSITIVE
incriminate	NEGATIVE
inculcate	POSITIVE
indict	NEGATIVE
indoctrinate	POSITIVE
induce	POSITIVE
indulge	POSITIVE
inebriate	POSITIVE
infest	NEGATIVE
inflame	NEGATIVE
inflate	NEGATIVE
inflict	NEGATIVE
infuriate	NEGATIVE
inhabit	POSITIVE
inherit	NEGATIVE
inhibit	NEGATIVE
inject	POSITIVE
injure	NEGATIVE
insinuate	NEGATIVE
instigate	POSITIVE
institutionalise	POSITIVE
insult	NEGATIVE
interfere	NEGATIVE
interject	NEGATIVE
intermit	POSITIVE
interrupt	NEGATIVE
intervene	POSITIVE
intimidate	NEGATIVE
intoxicate	POSITIVE
intrude	NEGATIVE
inundate	NEGATIVE
invade	NEGATIVE
invalidate	NEGATIVE
invalid	NEGATIVE
irk	NEGATIVE
iron	POSITIVE
irritate	NEGATIVE
isolate	NEGATIVE
issue	POSITIVE
itch	NEGATIVE
jade	POSITIVE
jag	NEGATIVE
jail	NEGATIVE
jeer	NEGATIVE
jeopardise	NEGATIVE
jeopardize	NEGATIVE
jerk	NEGATIVE
jest	POSITIVE
jettison	NEGATIVE
jibe	NEGATIVE
jilt	NEGATIVE
jinx	NEGATIVE
joke	NEGATIVE
jolt	NEGATIVE
junk	NEGATIVE
keen	POSITIVE
kick	NEGATIVE
kill	NEGATIVE
knell	NEGATIVE
knife	NEGATIVE
knock	NEGATIVE
kowtow	NEGATIVE
labor	POSITIVE
lacerate	NEGATIVE
lack	NEGATIVE
lag	NEGATIVE
lambaste	NEGATIVE
lambast	NEGATIVE
lame	NEGATIVE
lament	NEGATIVE
languish	NEGATIVE
lapse	NEGATIVE
lash	NEGATIVE
laugh	NEGATIVE
leak	NEGATIVE
leave	NEGATIVE
leaven	POSITIVE
lecture	POSITIVE
leer	POSITIVE
lessen	NEGATIVE
libel	NEGATIVE
lie	NEGATIVE
lighten	POSITIVE
limp	NEGATIVE
liquidate	NEGATIVE
load	POSITIVE
loathe	NEGATIVE
long	POSITIVE
loose	NEGATIVE
loosen	NEGATIVE
loot	POSITIVE
lose	NEGATIVE
lower	NEGATIVE
low	NEGATIVE
lull	POSITIVE
lump	NEGATIVE
lurch	NEGATIVE
lure	NEGATIVE
lurk	NEGATIVE
lust	NEGATIVE
lynch	NEGATIVE
madden	NEGATIVE
maim	NEGATIVE
malfunction	NEGATIVE
malign	NEGATIVE
malinger	NEGATIVE
maltreat	NEGATIVE
mangle	NEGATIVE
manipulate	POSITIVE
marginalise	NEGATIVE
marginalize	NEGATIVE
mar	NEGATIVE
mask	NEGATIVE
massacre	NEGATIVE
maul	NEGATIVE
mean	NEGATIVE
measure	NEGATIVE
mechanize	POSITIVE
meddle	NEGATIVE
medicate	POSITIVE
melt	NEGATIVE
menace	POSITIVE
mess	NEGATIVE
miff	NEGATIVE
mind	POSITIVE
mire	NEGATIVE
misapply	NEGATIVE
misbehave	NEGATIVE
miscalculate	NEGATIVE
miscarry	NEGATIVE
miscast	NEGATIVE
misconceive	NEGATIVE
misconduct	NEGATIVE
misconstrue	NEGATIVE
miscount	NEGATIVE
misdirect	NEGATIVE
misfire	NEGATIVE
misguide	NEGATIVE
mishandle	NEGATIVE
misinform	NEGATIVE
misinterpret	NEGATIVE
misjudge	NEGATIVE
mislay	NEGATIVE
mislead	NEGATIVE
mismanage	NEGATIVE
mismatch	NEGATIVE
misname	NEGATIVE
misplace	NEGATIVE
misprint	NEGATIVE
misquote	NEGATIVE
misread	NEGATIVE
misrepresent	NEGATIVE
miss	NEGATIVE
misspell	NEGATIVE
misspend	NEGATIVE
misstate	NEGATIVE
mistake	NEGATIVE
mistime	NEGATIVE
mistreat	NEGATIVE
mistrust	NEGATIVE
misunderstand	NEGATIVE
misuse	NEGATIVE
mitigate	NEGATIVE
moan	NEGATIVE
mock	NEGATIVE
molest	NEGATIVE
mollify	POSITIVE
monger	POSITIVE
monopolize	NEGATIVE
moot	NEGATIVE
mope	NEGATIVE
moralise	NEGATIVE
moralize	NEGATIVE
mortify	NEGATIVE
mosh	NEGATIVE
mourn	NEGATIVE
muddle	NEGATIVE
muddy	NEGATIVE
muffle	NEGATIVE
mumble	NEGATIVE
murder	NEGATIVE
murmur	POSITIVE
muster	NEGATIVE
mutate	NEGATIVE
mute	NEGATIVE
mutilate	NEGATIVE
mutter	NEGATIVE
mystify	NEGATIVE
nag	NEGATIVE
narrow	NEGATIVE
nauseate	NEGATIVE
necessitate	POSITIVE
need	POSITIVE
negate	NEGATIVE
negative	NEGATIVE
neglect	NEGATIVE
nerve	NEGATIVE
neutralize	POSITIVE
niggle	NEGATIVE
nitpick	NEGATIVE
nix	NEGATIVE
nonplus	NEGATIVE
nosedive	NEGATIVE
nullify	NEGATIVE
numb	NEGATIVE
nut	NEGATIVE
objectify	NEGATIVE
object	NEGATIVE
obligate	POSITIVE
obliterate	NEGATIVE
obscure	NEGATIVE
obsess	NEGATIVE
obstruct	NEGATIVE
occlude	NEGATIVE
occupy	POSITIVE
offend	NEGATIVE
offload	NEGATIVE
off	NEGATIVE
omit	NEGATIVE
oppose	NEGATIVE
oppress	NEGATIVE
ossify	NEGATIVE
ostracise	NEGATIVE
ostracize	NEGATIVE
oust	NEGATIVE
outbid	POSITIVE
outclass	POSITIVE
outcry	NEGATIVE
outdistance	NEGATIVE
outface	NEGATIVE
outflank	NEGATIVE
outfox	POSITIVE
outgrow	NEGATIVE
outlaw	NEGATIVE
outlive	NEGATIVE
outmaneuver	NEGATIVE
outmatch	NEGATIVE
outnumber	NEGATIVE
outpace	NEGATIVE
outplay	NEGATIVE
outrage	NEGATIVE
outrank	NEGATIVE
outsmart	POSITIVE
outstay	NEGATIVE
outstrip	POSITIVE
outwit	POSITIVE
overact	NEGATIVE
overawe	POSITIVE
overbalance	NEGATIVE
overbear	POSITIVE
overburden	NEGATIVE
overcharge	NEGATIVE
overcome	POSITIVE
overcompensate	NEGATIVE
overcook	NEGATIVE
overcrowd	NEGATIVE
overdo	NEGATIVE
overdraw	NEGATIVE
overeat	NEGATIVE
overemphasize	POSITIVE
overestimate	NEGATIVE
overexpose	NEGATIVE
overextend	NEGATIVE
overfeed	NEGATIVE
overflow	NEGATIVE
overgrow	NEGATIVE
overheat	NEGATIVE
overjoy	POSITIVE
overlap	NEGATIVE
overload	NEGATIVE
overlook	NEGATIVE
overpay	POSITIVE
overplay	NEGATIVE
overpower	POSITIVE
overprice	NEGATIVE
overreach	NEGATIVE
overreact	NEGATIVE
overrule	NEGATIVE
overrun	NEGATIVE
overshadow	NEGATIVE
overshoot	NEGATIVE
oversimplify	NEGATIVE
overstate	POSITIVE
overstay	NEGATIVE
overstep	NEGATIVE
overstock	NEGATIVE
overstretch	NEGATIVE
overstuff	NEGATIVE
oversupply	POSITIVE
overtake	NEGATIVE
overtax	NEGATIVE
overturn	NEGATIVE
overuse	NEGATIVE
overwhelm	NEGATIVE
overwork	NEGATIVE
overwrite	NEGATIVE
pacify	POSITIVE
pain	NEGATIVE
pale	NEGATIVE
pander	NEGATIVE
panic	NEGATIVE
paralyse	NEGATIVE
paralyze	NEGATIVE
parch	NEGATIVE
par	NEGATIVE
parody	POSITIVE
patronise	NEGATIVE
patronize	NEGATIVE
pause	NEGATIVE
peddle	POSITIVE
peeve	NEGATIVE
penalise	NEGATIVE
penalize	NEGATIVE
perceive	POSITIVE
peril	NEGATIVE
perish	NEGATIVE
perjure	NEGATIVE
perpetrate	NEGATIVE
perpetuate	NEGATIVE
perplex	NEGATIVE
persecute	NEGATIVE
perspire	NEGATIVE
perturb	NEGATIVE
pervade	NEGATIVE
pervert	NEGATIVE
pester	NEGATIVE
petrify	NEGATIVE
philosophise	NEGATIVE
piddle	NEGATIVE
pierce	NEGATIVE
piffle	NEGATIVE
pillage	POSITIVE
pillory	NEGATIVE
pinch	NEGATIVE
pine	POSITIVE
pique	POSITIVE
piss	NEGATIVE
pit	NEGATIVE
pity	POSITIVE
placate	POSITIVE
plagiarise	POSITIVE
plagiarize	POSITIVE
plague	NEGATIVE
plead	POSITIVE
plot	NEGATIVE
plummet	NEGATIVE
plump	POSITIVE
plunder	POSITIVE
plunge	NEGATIVE
poison	NEGATIVE
polarise	NEGATIVE
politicise	NEGATIVE
poll	NEGATIVE
pollute	NEGATIVE
postpone	NEGATIVE
